Group,NH4,NO3,FTN,UNFTN,PO4,FTP,SIO2,UNFTP,GRP
B,0.0672,0.0063,0.748,2.305,5.4,6.8,14.15,12.2,2
C,0.0664,0.0117,0.639,2.242,3.7,10.1,12.82,16,3
B,0.0288,0.0058,0.636,2.141,3.7,11.8,13.2,18,2
B,0.0421,0.0094,0.62,2.058,5.4,12.6,11.69,18,2
B,0.0402,0.0089,2.113,2.303,4.9,12.2,11.5,19.7,2
B,0.0276,0.006,2.069,2.046,2.8,8.9,12.44,19.7,2
B,0.0227,0.0065,0.553,1.772,2,5.1,10.93,38.5,2
C,0.0438,0.0042,0.522,1.703,1.1,7.2,10.18,13.5,3
C,0.0362,0.0057,1.73,1.645,2.4,8.9,8.85,15.5,3
C,0.0391,0.0033,0.507,1.808,2.4,10.1,8.09,16.8,3
B,0.0226,0.0051,0.483,1.765,4.9,7.6,7.53,12.2,2
C,0.0133,0.0039,0.512,1.941,3.3,8,8.47,13,3
B,0.0252,0.0127,1.759,1.8,2.4,11.8,8.28,10.5,2
B,0.0157,0.0037,1.727,1.808,2.8,4.7,8.28,12.2,2
B,0.0135,0.0033,1.569,1.697,1.6,5.1,7.15,11.8,2
B,0.0232,0.0023,1.624,1.686,1.1,4.3,6.01,9.3,2
A,0.0249,0.0034,1.843,1.867,2.8,8,6.01,8.5,1
A,0.0142,0.0065,2.021,2.137,2.8,6.8,6.01,11.8,1
A,0.0169,0.0022,2.028,2.083,2.8,5.5,6.96,12.6,1
A,0.0305,0.0036,1.913,2.021,2.4,7.6,7.53,11.4,1
B,0.0331,0.0077,2.307,1.916,4.5,10.5,9.23,23.5,2
B,0.0361,0.0071,1.656,1.619,4.5,8.5,8.09,12.2,2
B,0.0194,0.0061,2.316,2.195,3.3,8.9,12.07,12.6,2
A,0.0207,0.0093,2.357,2.441,3.7,11.4,12.07,12.2,1
A,0.0199,0.005,2.409,2.578,3.3,8,11.31,12.6,1
A,0.0261,0.0041,2.734,2.569,3.3,8,9.99,11.4,1
A,0.0221,0.0028,2.562,2.612,4.1,9.3,9.8,10.1,1
A,0.0403,0.0037,2.46,2.549,3.3,6.8,10.18,12.2,1
B,0.0237,0.0039,2.313,0.632,4.1,8,10.93,11.4,2
C,0.0229,0.0031,2.177,2.354,3.7,13,12.26,22.6,3
C,0.0739,0.0031,2.222,2.225,4.5,12.2,11.5,21.4,3
C,0.0411,0.0077,2.138,2.032,4.5,6.8,8.85,21,3
