Site,TPeleo,TNeleo,TPsed,TCsed,TNsed,AFDMsed,CHLAsed,NH4-N,NO3-N,FILT-TN,UNFILT-TN,FILT-PO4,FILT-TP,SIO2,UNFILT-TP
1,0.79,33.73,0.784,410.5,45,14.141,31.858,0.0672,0.0063,0.748,2.305,5.4,6.8,14.15,12.2
2,1.23,27.15,,637.8,68.1,14.259,11.681,0.0664,0.0117,0.639,2.242,3.7,10.1,12.82,16
3,1.18,31.71,2.023,873.5,57.1,18.384,12.709,0.0288,0.0058,0.636,2.141,3.7,11.8,13.2,18
4,0.92,27.83,1.138,785.1,61.3,29.54,23.767,0.0421,0.0094,0.62,2.058,5.4,12.6,11.69,18
5,1.21,33.25,1.8,760.8,69.4,23.38,9.647,0.0402,0.0089,2.113,2.303,4.9,12.2,11.5,19.7
6,1.2,33.27,1.399,783.9,80,23.238,11.917,0.0276,0.006,2.069,2.046,2.8,8.9,12.44,19.7
7,0.61,32.95,1.472,759.4,79.2,25.056,20.283,0.0227,0.0065,0.553,1.772,2,5.1,10.93,38.5
8,1.38,43.07,1.453,825.1,79.4,20.606,28.082,0.0438,0.0042,0.522,1.703,1.1,7.2,10.18,13.5
9,2.27,47.9,2.868,865.9,75.2,26.128,7.63,0.0362,0.0057,1.73,1.645,2.4,8.9,8.85,15.5
10,1.11,38.79,1.901,829.2,72.3,21.751,13.755,0.0391,0.0033,0.507,1.808,2.4,10.1,8.09,16.8
11,0.69,19.96,1.545,901,77.7,87.003,14.519,0.0226,0.0051,0.483,1.765,4.9,7.6,7.53,12.2
12,1.73,37.96,0.963,683.1,69.6,26.098,7.889,0.0133,0.0039,0.512,1.941,3.3,8,8.47,13
13,2.72,29.01,0.784,778.9,81.4,19.024,19.682,0.0252,0.0127,1.759,1.8,2.4,11.8,8.28,10.5
14,0.12,33.64,0.903,873.7,75.3,18.822,4.09,0.0157,0.0037,1.727,1.808,2.8,4.7,8.28,12.2
15,0.58,32.18,0.886,667.4,73.5,19.554,10.782,0.0135,0.0033,1.569,1.697,1.6,5.1,7.15,11.8
16,0.61,54.72,1.447,720.1,75.8,19.104,13.502,0.0232,0.0023,1.624,1.686,1.1,4.3,6.01,9.3
17,0.23,37.06,0.597,767.8,74.3,10.522,10.676,0.0249,0.0034,1.843,1.867,2.8,8,6.01,8.5
18,0.1,18.95,0.706,488.1,50.8,30.303,13.485,0.0142,0.0065,2.021,2.137,2.8,6.8,6.01,11.8
19,0.26,34.13,0.688,595.2,58.1,35.185,26.475,0.0169,0.0022,2.028,2.083,2.8,5.5,6.96,12.6
20,0.44,37.1,0.795,743.4,67.7,13.737,9.17,0.0305,0.0036,1.913,2.021,2.4,7.6,7.53,11.4
21,0.24,26.53,1.361,797.6,84.9,20.631,8.698,0.0331,0.0077,2.307,1.916,4.5,10.5,9.23,23.5
22,1.35,59.12,1.242,749.5,78.5,13.3,14.204,0.0361,0.0071,1.656,1.619,4.5,8.5,8.09,12.2
23,0.39,21.6,0.647,484,45,23.923,0,0.0194,0.0061,2.316,2.195,3.3,8.9,12.07,12.6
24,0.37,25.47,0.574,534,53.5,33.939,16.721,0.0207,0.0093,2.357,2.441,3.7,11.4,12.07,12.2
25,0.33,26.24,0.702,537.1,53.5,27.311,30.094,0.0199,0.005,2.409,2.578,3.3,8,11.31,12.6
26,0.49,36.22,0.65,864.1,60.6,46.296,25.284,0.0261,0.0041,2.734,2.569,3.3,8,9.99,11.4
27,0.05,16.8,0.596,499.2,52,58.361,6.428,0.0221,0.0028,2.562,2.612,4.1,9.3,9.8,10.1
28,0.28,26.85,0.72,659.9,60.9,7.323,14.665,0.0403,0.0037,2.46,2.549,3.3,6.8,10.18,12.2
29,0.67,45.66,0.605,834.1,62.4,,,0.0237,0.0039,2.313,0.632,4.1,8,10.93,11.4
30,2.12,64.5,3.941,908.4,75.8,76.055,53.618,0.0229,0.0031,2.177,2.354,3.7,13,12.26,22.6
31,1.05,32.83,3.193,722.7,66.6,82.255,65.633,0.0739,0.0031,2.222,2.225,4.5,12.2,11.5,21.4
32,1.75,24.98,1.086,798.9,69.1,57.491,32.186,0.0411,0.0077,2.138,2.032,4.5,6.8,8.85,21
