ID,ACHMINUT,ANOSERIA,COCPLACE,CYMMESIA,CYMMICRO,CYMMINUT,CYMPUSIL,CYMTENUI,EUNPECTI,GOMGRACI,GOMINTRI,GOMPARVU,NAVRADIO,NAVTENEL,NITAMPHI,NITANGUS,NITFRUST,RHOGIBBA,SYNDELIC
1,0.06367,0.00749,0,0.03558,0.05243,0,0.03371,0.00562,0.00187,0.00936,0.01124,0,0.00749,0.02996,0.12734,0.00375,0.00562,0.05056,0.00749
2,0.09341,0.03663,0.08425,0.03846,0.2326,0.00183,0.01465,0,0.00366,0.04029,0.00366,0.02381,0,0.01282,0,0,0.17216,0.02015,0.08974
3,0.30988,0.01508,0,0.03183,0.09883,0.00168,0.00335,0.00503,0,0.01675,0.05193,0.00335,0.00168,0.00503,0.06198,0.0067,0.03015,0.00168,0.0536
4,0.05325,0.20907,0,0.0927,0.13807,0.07692,0.01578,0.04339,0,0.0217,0.01775,0,0.00197,0.00197,0.11834,0.00197,0.04536,0.00197,0.0217
5,0.08801,0.16844,0,0.05008,0.11684,0.10167,0.00455,0.00303,0.00303,0.01973,0.03945,0.00152,0.00455,0.00607,0.12595,0.01973,0.0258,0.00303,0.01973
6,0.052,0.02,0,0.042,0.036,0.024,0,0.078,0.004,0.022,0.02,0,0.006,0.016,0.124,0.018,0,0.014,0
7,0.02913,0.00971,0,0.03107,0.05437,0.04854,0.00194,0.04466,0.00777,0.01359,0.01165,0,0,0.00583,0.04272,0.00777,0,0.0233,0.00194
8,0.15625,0.00195,0.00195,0.00781,0.11719,0.0293,0,0,0.03906,0.04688,0.00195,0.05469,0,0.05078,0.01367,0,0.17773,0.03711,0.04102
9,0.07544,0,0,0.00774,0.05416,0.01547,0,0,0.05609,0.10251,0.00774,0.02515,0,0.02321,0.02901,0,0.24952,0.01354,0.01161
10,0.01354,0.00387,0.02901,0,0.06383,0.03868,0,0,0.02321,0.03868,0.0058,0.01741,0,0.0058,0.04642,0,0.25919,0.00967,0.02515
11,0.02099,0.00382,0,0.01336,0.01527,0.0458,0,0.02099,0.00573,0.03626,0.03244,0,0.00382,0.00763,0.08397,0.00191,0.0229,0.00763,0.00763
12,0.05758,0.00576,0,0.02303,0.09213,0.02879,0,0.01919,0.01727,0.04223,0.02111,0,0.00192,0.03071,0.07294,0.01344,0.03071,0.01727,0.00384
13,0.05556,0.00397,0,0.01587,0.02579,0.01587,0,0.14087,0.06944,0.01786,0.01389,0,0.00397,0.00595,0.06944,0.00595,0.00198,0.00595,0
14,0.08007,0.00931,0,0.03352,0.01117,0.01676,0,0.16015,0.00372,0.00186,0.04283,0,0,0.00745,0.04097,0.00559,0,0,0
15,0.05,0.03571,0,0.03929,0.05357,0.00536,0,0.13929,0.03571,0.00357,0.00179,0,0.00536,0.01071,0.04286,0.00179,0,0.00714,0.00179
16,0.02115,0.00769,0,0.03077,0.01923,0.00192,0,0.11923,0.00385,0.00577,0.00962,0,0,0.00769,0.02885,0.00769,0,0.00192,0
17,0.01367,0.04102,0,0.00391,0.01172,0.00195,0,0.56445,0,0.00195,0,0,0.00586,0,0,0.00195,0,0,0
18,0.01172,0.01172,0,0.00391,0.00195,0,0,0.22266,0,0.00195,0.00195,0,0,0,0.00195,0.00781,0,0,0.02148
19,0.02595,0.02595,0,0.03393,0.00599,0.01597,0,0.15768,0,0,0.00599,0,0,0,0.00399,0.00998,0,0,0
20,0.02136,0.00583,0,0.03495,0.01553,0.00777,0,0.06796,0,0.00777,0.00583,0,0.00388,0.01553,0.01748,0.00194,0,0.00583,0
21,0.00197,0,0,0.05512,0.01969,0.00591,0.00197,0.23031,0,0.00394,0.00394,0,0,0.00394,0.01181,0.02165,0,0.01181,0
22,0.1582,0.08398,0,0.00586,0.09766,0.00586,0,0.07031,0.00195,0.01953,0.01758,0,0.01367,0.03906,0.04297,0.00586,0,0.00781,0.00195
23,0.05138,0.02569,0,0.04348,0.02372,0,0.01779,0.09684,0.00198,0.00791,0.01383,0,0.00395,0.01779,0.01779,0,0,0.01186,0
24,0.04736,0.03097,0,0.03097,0.02004,0.00729,0,0.16029,0,0.02004,0,0,0.00182,0.00911,0.04736,0.00546,0,0.00364,0.00182
25,0.07692,0.00986,0,0.00197,0.00789,0,0,0.19527,0,0.00789,0.01183,0,0,0.00197,0.00592,0.00394,0.00197,0,0.03156
26,0.05094,0.01132,0,0.01132,0.01132,0,0.00189,0.27358,0,0.00566,0,0,0.00189,0,0.00377,0.00189,0,0.00189,0.06226
27,0.0233,0.00971,0,0.01165,0.00194,0,0,0.37476,0,0,0.00194,0,0.00194,0,0.00194,0.00194,0,0,0.01748
28,0.01365,0.01365,0,0.02729,0.00975,0.00195,0.0039,0.11891,0,0,0.00585,0,0.0039,0.00195,0.00975,0.00585,0,0,0.00195
29,0.05814,0.02132,0,0.06589,0.02713,0.00194,0,0.21318,0.00194,0.01744,0,0,0.00388,0.00581,0.01744,0.00194,0,0.00388,0
30,0.01195,0.00199,0.1753,0.00398,0.05578,0.00398,0,0.00199,0.18327,0.07968,0.00199,0.04582,0,0.00199,0.26295,0,0,0.00996,0.10558
31,0.04348,0.06917,0.00988,0.01186,0.32411,0.00198,0.00988,0,0.01581,0.03755,0.00395,0.00198,0,0.01186,0,0,0.19368,0.02569,0.08696
32,0.06275,0.00196,0.21569,0.00784,0.0549,0.01176,0,0,0.06078,0.05294,0.00392,0.03137,0.00784,0.02941,0.00588,0,0.27647,0.00588,0.05294
